TIMESLOT 	 Throughout 	 Age 	 Run 	 commTotal 	 commEnergy 	 reward
10.0	45.2	3.622	13020.0	0.24699934978369406	2.229291216036008	1807552.238976068
15.0	68.0	5.386	19345.0	0.37113695808512825	3.3740252555282466	2670393.518233938
20.0	89.8	7.174	25795.0	0.476695787524933	4.3761738278467295	3583679.7099743565
25.0	112.0	8.958	32200.0	0.5937176159143258	5.410885142812278	4500410.245782741
30.0	136.6	10.97	39335.0	0.7634909819918425	6.810180438320133	5458757.65593976
35.0	157.8	12.642	45305.0	0.8727295049925945	7.794131709459734	6305325.631435326
40.0	181.4	14.554	52160.0	1.0161757404350091	9.058660060709578	7243700.721241642
45.0	202.0	16.438	59130.0	1.0991857738980562	9.883445783809996	8250693.926744657
50.0	224.2	18.21	65520.0	1.2151806548472104	11.037656741473782	9155458.539493773
55.0	246.8	20.1	72365.0	1.3334231168876474	12.023517028066	10115589.914611312
60.0	268.6	21.798	78480.0	1.4374049878118889	13.020085038360287	10966695.609162811
65.0	290.6	23.502	84615.0	1.5469424703127874	14.030113101762993	11830122.408885987
70.0	314.6	25.34	91090.0	1.7080711214055349	15.371146577572125	12723779.351747416
75.0	337.6	27.152	97575.0	1.841520977082831	16.535061525512063	13616790.22563749
80.0	362.8	29.08	104395.0	2.0113737992116385	17.933664706899364	14532091.820851963
85.0	386.6	30.924	110900.0	2.1658232046060704	19.236096341047407	15419571.792676277
90.0	410.4	32.728	117320.0	2.3180563665923324	20.53646790720034	16285811.162701033
95.0	434.4	34.56	123835.0	2.4624120926123747	21.771709228799537	17186115.46146302
100.0	459.6	36.502	130660.0	2.6419166785323505	23.24286633546448	18097063.192600183
105.0	483.6	38.366	137345.0	2.78758203828611	24.544243608904036	19004071.199956566
110.0	506.2	40.206	143985.0	2.9027381154219434	25.542561146178294	19947546.288089722
115.0	530.2	42.19	151140.0	3.055056717214531	26.842248305287164	20925336.239873625
120.0	551.8	43.974	157625.0	3.162445607380896	27.931401723663452	21840793.306808308
125.0	575.8	45.716	163705.0	3.317879629553115	29.221982389580965	22677728.308281515
130.0	599.2	47.712	170955.0	3.458769552822198	30.424349691064567	23673408.029657435
135.0	621.8	49.614	177830.0	3.588336142922464	31.570143459113762	24629874.532893326
140.0	643.6	51.374	184215.0	3.683975300503134	32.49859858704849	25553264.4677613
145.0	666.4	53.064	190215.0	3.814437548560327	33.659000469575446	26389095.265315782
