No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
2934	4	2399	127.25	127.25	0.0030840586747561093	0.25	0.03363626757308587	0.07
2935	4	2401	127.35	127.35	0.0030840586747561093	0.125	0.03363626757308587	0.04
2936	4	2400	127.3	127.3	0.0030840586747561093	0.375	0.03363626757308587	0.1
2937	4	2402	127.4	127.4	0.0030840586747561093	0.25	0.03363626757308587	0.07
2938	4	2404	127.5	127.5	0.0030840586747561093	0.25	0.03363626757308587	0.07
2939	4	2403	127.45	127.45	0.0030840586747561093	0.5	0.03363626757308587	0.13
2940	4	2405	127.55	127.55	0.0030840586747561093	0.375	0.03363626757308587	0.1
2941	4	2406	127.6	127.6	0.0030840586747561093	0.5	0.03363626757308587	0.13
2942	4	2407	127.65	127.65	0.0030840586747561093	0.5	0.03363626757308587	0.13
2943	4	2408	127.7	127.7	0.0030840586747561093	0.375	0.03363626757308587	0.1
2944	4	2409	127.75	127.75	0.0030840586747561093	0.25	0.03363626757308587	0.07
2945	1	134	127.85	127.88	0.026577372516784305	0.05	0.15288765580161817	0.04
2946	0	136	127.85	127.89	0.03322171564598038	0.075	0.19110956975202273	0.06
2947	4	2410	127.8	127.8	0.0030840586747561093	0.5	0.03363626757308587	0.13
2948	2	138	127.85	127.86	0.01993302938758823	0.3	0.11466574185121364	0.08
2949	3	127	127.85	127.87	0.013288686258392152	0.4	0.07644382790080909	0.11
2950	4	2412	127.9	127.9	0.0030840586747561093	0.25	0.03363626757308587	0.07
2951	4	2411	127.85	127.85	0.006644343129196076	0.5	0.03822191395040454	0.13
2952	4	2413	127.95	127.95	0.0030840586747561093	0.125	0.03363626757308587	0.04
2953	4	2414	128.0	128.0	0.0030840586747561093	0.5	0.03363626757308587	0.13
2954	4	2415	128.05	128.05	0.0030840586747561093	0.5	0.03363626757308587	0.13
2955	4	2417	128.15	128.15	0.0030840586747561093	0.125	0.03363626757308587	0.04
2956	4	2416	128.1	128.1	0.0030840586747561093	0.5	0.03363626757308587	0.13
2957	4	2418	128.2	128.2	0.0030840586747561093	0.375	0.03363626757308587	0.1
2958	4	2419	128.25	128.25	0.0030840586747561093	0.5	0.03363626757308587	0.13
2959	4	2420	128.3	128.3	0.0030840586747561093	0.5	0.03363626757308587	0.13
