sysTime 	ACTION 	ChannelUsed 	TransJob 	CPU 	RunningJob 	ActionQos 
49660	27	33.358863200467205	3	0.30000000000000004	3	718.6976225745533
49670	27	22.239242133644808	2	0.4	4	718.6976225745533
49680	27	1.4210854715202004e-14	0	0.5	5	718.6976225745533
49690	27	1.4210854715202004e-14	0	0.4	4	269.70751273064684
49700	2	20.751874963942193	1	0.30000000000000004	3	1348.5375636532342
49710	2	1.4210854715202004e-14	0	0.30000000000000004	3	5749.580980596426
49720	2	1.4210854715202004e-14	0	0.30000000000000004	3	5749.580980596426
49730	2	1.4210854715202004e-14	0	0.20000000000000004	2	6742.68781826617
49740	2	1.4210854715202004e-14	0	0.10000000000000003	1	1348.5375636532342
49750	16	20.751874963942193	1	0.10000000000000003	1	1348.5375636532342
49760	16	20.751874963942193	1	2.7755575615628914e-17	0	2972.9814636156366
49770	16	1.4210854715202004e-14	0	0.10000000000000003	1	2972.9814636156366
49780	16	1.4210854715202004e-14	0	0.10000000000000003	1	2972.9814636156366
49790	16	1.4210854715202004e-14	0	2.7755575615628914e-17	0	445.94721954234547
49800	2	20.751874963942193	1	2.7755575615628914e-17	0	445.94721954234547
49810	2	1.4210854715202004e-14	0	0.10000000000000003	1	445.94721954234547
49820	2	1.4210854715202004e-14	0	0.10000000000000003	1	445.94721954234547
49830	2	1.4210854715202004e-14	0	0.10000000000000003	1	445.94721954234547
49840	2	1.4210854715202004e-14	0	0.10000000000000003	1	445.94721954234547
49850	17	32.19280948873624	2	0.10000000000000003	1	445.94721954234547
49860	17	16.096404744368126	1	0.10000000000000003	1	2972.9814636156366
49870	17	1.4210854715202004e-14	0	0.20000000000000004	2	2972.9814636156366
49880	17	1.4210854715202004e-14	0	0.10000000000000003	1	143.73952451491064
49890	17	1.4210854715202004e-14	0	0.10000000000000003	1	143.73952451491064
49900	29	44.4784842672896	4	2.7755575615628914e-17	0	3593.4881128727666
49910	29	33.358863200467205	3	0.10000000000000003	1	3593.4881128727666
49920	29	22.239242133644808	2	0.20000000000000004	2	3593.4881128727666
49930	29	1.4210854715202004e-14	0	0.30000000000000004	3	3593.4881128727666
49940	29	1.4210854715202004e-14	0	0.30000000000000004	3	404.5612690959702
49950	4	20.751874963942193	1	0.30000000000000004	3	404.5612690959702
49960	4	1.4210854715202004e-14	0	0.4	4	404.5612690959702
49970	4	1.4210854715202004e-14	0	0.30000000000000004	3	674.2687818266171
49980	4	1.4210854715202004e-14	0	0.10000000000000003	1	2022.8063454798512
49990	4	1.4210854715202004e-14	0	0.10000000000000003	1	2022.8063454798512
50000	2	20.751874963942193	1	0.10000000000000003	1	2022.8063454798512
50010	2	1.4210854715202004e-14	0	0.20000000000000004	2	2022.8063454798512
50020	2	1.4210854715202004e-14	0	0.20000000000000004	2	2022.8063454798512
50030	2	1.4210854715202004e-14	0	0.20000000000000004	2	2022.8063454798512
