TIMESLOT 	 Throughout 	 Age 	 Run 	 commTotal 	 commEnergy 	 reward
10.0	102.6	6.156	19325.0	1.5035703939986107	11.10093750459288	1585150.9431333325
15.0	156.0	9.43	29615.0	2.293844358400097	16.877263778586805	2417076.538761466
20.0	207.2	12.446	38985.0	3.057172312357114	22.525894791830588	3153144.5127694793
25.0	257.8	15.454	48445.0	3.7914527846687913	27.98889220071191	3934274.418459031
30.0	308.2	18.406	57540.0	4.550071704641618	33.58925164821775	4623489.064450949
35.0	356.0	21.168	66090.0	5.232102725740417	38.82420065715712	5336931.196781603
40.0	406.6	24.218	75675.0	5.9738916326287805	44.27213288026256	6098438.134165351
45.0	462.0	27.564	86005.0	6.810103350129897	50.27076678448093	6932973.9053590875
50.0	511.2	30.56	95550.0	7.49785757257978	55.43117591402679	7732524.323338449
55.0	565.4	33.946	106310.0	8.271092105341841	61.041459022205025	8613870.539869117
60.0	614.0	36.944	115810.0	8.961116012550297	66.13976185970834	9438024.40832015
65.0	666.8	40.158	125970.0	9.73368878049855	71.77451427063697	10279273.504205469
70.0	719.8	43.51	136640.0	10.50363127513423	77.51985340598559	11178485.676016914
75.0	771.4	46.48	145805.0	11.256814959844627	83.12940359189251	11908767.175459128
80.0	826.6	49.7	155645.0	12.094833617716224	89.14144000889902	12688204.870044459
85.0	876.6	52.69	165150.0	12.808612780157922	94.48517348956153	13429643.984622702
90.0	926.6	55.546	174150.0	13.525198902568954	99.91568694183333	14170232.55424749
95.0	979.6	58.718	184065.0	14.318727198082735	105.69700468464472	14944590.677477596
100.0	1031.4	61.836	193940.0	15.063796811291246	111.23974215686307	15706116.00780435
105.0	1082.4	64.894	203400.0	15.832861899765335	116.94025169518974	16438152.451950667
110.0	1132.2	67.86	212815.0	16.527947643322673	122.1681798572367	17213043.49734991
115.0	1180.4	70.656	221455.0	17.23426876185664	127.49317821254836	17866306.76415406
120.0	1237.6	74.224	232710.0	18.082085976634612	133.5745414615149	18780846.226696614
125.0	1286.0	76.97	241355.0	18.750978343647898	138.64139179725203	19456215.203542646
130.0	1336.2	80.014	251110.0	19.438412318281202	143.71640626594188	20268534.76375268
135.0	1386.8	83.034	260580.0	20.162213867425802	149.15005130203468	21041514.95966706
140.0	1435.4	85.968	269915.0	20.85532516557079	154.4197008957322	21828329.357371163
145.0	1488.2	89.224	280150.0	21.637483121859393	160.20462794411011	22672531.736787997
