sysTime 	ACTION 	ChannelUsed 	TransJob 	CPU 	RunningJob 	ActionQos 
10	0	0.0	0	0.0	0	0.0
20	0	0.0	0	0.0	0	0.0
30	0	0.0	0	0.0	0	0.0
40	0	0.0	0	0.0	0	0.0
50	3	32.19280948873624	2	0.0	0	0.0
60	3	0.0	0	0.1	1	0.0
70	3	0.0	0	0.2	2	0.0
80	3	0.0	0	0.2	2	0.0
90	3	0.0	0	0.2	2	0.0
100	3	32.19280948873624	2	0.1	1	2874.790490298213
110	3	0.0	0	0.2	2	2874.790490298213
120	3	0.0	0	0.30000000000000004	3	2874.790490298213
130	3	0.0	0	0.20000000000000004	2	1437.3952451491066
140	3	0.0	0	0.20000000000000004	2	1437.3952451491066
150	3	32.19280948873624	2	0.20000000000000004	2	1437.3952451491066
160	3	0.0	0	0.20000000000000004	2	3593.4881128727666
170	3	0.0	0	0.20000000000000004	2	10780.4643386183
180	3	0.0	0	0.20000000000000004	2	10780.4643386183
190	3	0.0	0	0.20000000000000004	2	10780.4643386183
200	3	32.19280948873624	2	0.20000000000000004	2	10780.4643386183
210	3	0.0	0	0.30000000000000004	3	10780.4643386183
220	3	0.0	0	0.4	4	10780.4643386183
230	3	0.0	0	0.4	4	10780.4643386183
240	3	0.0	0	0.4	4	10780.4643386183
250	3	32.19280948873624	2	0.30000000000000004	3	5749.580980596426
260	3	0.0	0	0.4	4	5749.580980596426
270	3	0.0	0	0.4	4	10780.4643386183
280	3	0.0	0	0.4	4	10780.4643386183
290	3	0.0	0	0.30000000000000004	3	7186.976225745533
300	3	32.19280948873624	2	0.20000000000000004	2	5749.580980596426
310	3	0.0	0	0.30000000000000004	3	5749.580980596426
320	3	0.0	0	0.4	4	5749.580980596426
330	3	0.0	0	0.30000000000000004	3	1437.3952451491066
340	3	0.0	0	0.20000000000000004	2	7186.976225745533
350	3	32.19280948873624	2	0.10000000000000003	1	5749.580980596426
360	3	0.0	0	0.10000000000000003	1	3593.4881128727666
370	3	0.0	0	0.20000000000000004	2	3593.4881128727666
380	3	0.0	0	0.20000000000000004	2	3593.4881128727666
390	3	0.0	0	0.20000000000000004	2	3593.4881128727666
400	3	32.19280948873624	2	0.20000000000000004	2	3593.4881128727666
410	3	0.0	0	0.30000000000000004	3	3593.4881128727666
420	3	0.0	0	0.4	4	3593.4881128727666
430	3	0.0	0	0.4	4	3593.4881128727666
440	3	0.0	0	0.30000000000000004	3	7186.976225745533
450	3	32.19280948873624	2	0.10000000000000003	1	2874.790490298213
460	3	0.0	0	0.20000000000000004	2	2874.790490298213
470	3	0.0	0	0.30000000000000004	3	2874.790490298213
480	3	0.0	0	0.30000000000000004	3	2874.790490298213
490	3	0.0	0	0.30000000000000004	3	2874.790490298213
500	3	32.19280948873624	2	0.30000000000000004	3	2874.790490298213
510	3	0.0	0	0.4	4	2874.790490298213
520	3	0.0	0	0.5	5	2874.790490298213
530	3	0.0	0	0.5	5	2874.790490298213
540	3	0.0	0	0.5	5	2874.790490298213
550	3	32.19280948873624	2	0.20000000000000004	2	2874.790490298213
560	3	0.0	0	0.30000000000000004	3	2874.790490298213
570	3	0.0	0	0.4	4	2874.790490298213
580	3	0.0	0	0.4	4	2874.790490298213
590	3	0.0	0	0.4	4	2874.790490298213
